cake,code,quantity,ingredient,measure
Strawberry Roll,CC,0.5,Cottage Cheese,pound
Strawberry Roll,EG,4,Eggs,one
Strawberry Roll,FR,0.75,Sifted flour,cup
Strawberry Roll,SR,0.75,Granulated sugar,cup
Strawberry Roll,SS,1,Strawberries,quart
Strawberry Roll,ST,1,Salt,teaspoon
Strawberry Roll,VE,1,Vanilla extract,teaspoon
Savarin,BR,0.7,Butter,cup
Savarin,EG,3,Eggs,one
Savarin,FR,1.5,Sifted flour,cup
Savarin,LR,1,Lemon rind,teaspoon
Savarin,MK,0.25,Milk,cup
Savarin,SR,0.6,Granulated sugar,cup
Savarin,ST,0.5,Salt,teaspoon
Savarin,WR,0.25,Water,cup
Savarin,YT,1,Yeast,ounce
Banana Shortcake,BP,4,Baking powder,teaspoon
Banana Shortcake,BR,0.6,Butter,cup
Banana Shortcake,BS,3,Bananas,one
Banana Shortcake,FR,3,Sifted flour,cup
Banana Shortcake,HC,1,Heavy cream,cup
Banana Shortcake,MK,1,Milk,cup
Banana Shortcake,SR,0.13,Granulated sugar,cup
Banana Shortcake,ST,0.5,Salt,teaspoon
Strawberry Shortcake,BP,3,Baking powder,teaspoon
Strawberry Shortcake,BR,0.12,Butter,cup
Strawberry Shortcake,CC,0.2,Cottage Cheese,pound
Strawberry Shortcake,EG,1,Eggs,one
Strawberry Shortcake,FR,2,Sifted flour,cup
Strawberry Shortcake,MK,0.5,Milk,cup
Strawberry Shortcake,SC,1,Sour cream,cup
Strawberry Shortcake,SR,0.6,Granulated sugar,cup
Strawberry Shortcake,SS,1,Strawberries,quart
Strawberry Shortcake,ST,0.75,Salt,teaspoon
Sponge,AE,0.5,Almond essence,teaspoon
Sponge,BP,1,Baking powder,teaspoon
Sponge,EG,4,Eggs,one
Sponge,FR,0.75,Sifted flour,cup
Sponge,SR,0.75,Granulated sugar,cup
Sponge,ST,0.25,Salt,teaspoon
Sponge,WR,2,Water,cup
